"id","Symbol","Description","KEGG_A_class","KEGG_B_class","Pathway","K_ID","GO.Component","GO.Function","GO.Process","TF_family"
"ENSMUSG00000052595","A1cf","APOBEC1 complementation factor [Source:MGI Symbol;Acc:MGI:1917115]","-","-","-","-","GO:0030895//apolipoprotein B mRNA editing enzyme complex","GO:0003676//nucleic acid binding;GO:0003727//single-stranded RNA binding","GO:0016556//mRNA modification","--"
"ENSMUSG00000030111","A2m","alpha-2-macroglobulin [Source:MGI Symbol;Acc:MGI:2449119]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03910","GO:0005576//extracellular region;GO:0005615//extracellular space","GO:0004866//endopeptidase inhibitor activity","-","--"
"ENSMUSG00000002985","Apoe","apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]","Human Diseases;Organismal Systems","Neurodegenerative disease;Digestive system","ko05010//Alzheimer disease;ko04979//Cholesterol metabolism","K04524;K04524","GO:0005576//extracellular region","GO:0008289//lipid binding","GO:0006869//lipid transport;GO:0042157//lipoprotein metabolic process","--"
"ENSMUSG00000000049","Apoh","apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]","Organismal Systems","Digestive system","ko04979//Cholesterol metabolism","K17305","-","-","-","--"
"ENSMUSG00000041347","Bdkrb1","bradykinin receptor, beta 1 [Source:MGI Symbol;Acc:MGI:88144]","Human Diseases;Environmental Information Processing;Environmental Information Processing;Cellular Processes;Organismal Systems;Organismal Systems","Cancer: overview;Signaling molecules and interaction;Signal transduction;Cell motility;Sensory system;Immune system","ko05200//Pathways in cancer;ko04080//Neuroactive ligand-receptor interaction;ko04020//Calcium signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04750//Inflammatory mediator regulation of TRP channels;ko04610//Complement and coagulation cascades","K03915;K03915;K03915;K03915;K03915;K03915","GO:0016021//integral component of membrane","GO:0004930//G-protein coupled receptor activity;GO:0004947//bradykinin receptor activity","GO:0006954//inflammatory response;GO:0007186//G-protein coupled receptor signaling pathway;GO:0009612//response to mechanical stimulus","--"
"ENSMUSG00000021070","Bdkrb2","bradykinin receptor, beta 2 [Source:MGI Symbol;Acc:MGI:102845]","Human Diseases;Environmental Information Processing;Environmental Information Processing;Cellular Processes;Environmental Information Processing;Organismal Systems;Environmental Information Processing;Human Diseases;Organismal Systems;Organismal Systems","Cancer: overview;Signaling molecules and interaction;Signal transduction;Cell motility;Signal transduction;Sensory system;Signal transduction;Infectious disease: parasitic;Immune system;Excretory system","ko05200//Pathways in cancer;ko04080//Neuroactive ligand-receptor interaction;ko04020//Calcium signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04022//cGMP-PKG signaling pathway;ko04750//Inflammatory mediator regulation of TRP channels;ko04071//Sphingolipid signaling pathway;ko05142//Chagas disease;ko04610//Complement and coagulation cascades;ko04961//Endocrine and other factor-regulated calcium reabsorption","K03916;K03916;K03916;K03916;K03916;K03916;K03916;K03916;K03916;K03916","-","-","-","--"
"ENSMUSG00000036887","C1qa","complement component 1, q subcomponent, alpha polypeptide [Source:MGI Symbol;Acc:MGI:88223]","Human Diseases;Human Diseases;Human Diseases;Organismal Systems;Human Diseases;Human Diseases","Immune disease;Infectious disease: bacterial;Infectious disease: parasitic;Immune system;Infectious disease: bacterial;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko05142//Chagas disease;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05020//Prion disease","K03986;K03986;K03986;K03986;K03986;K03986","-","GO:0005515//protein binding","GO:0006958//complement activation, classical pathway","--"
"ENSMUSG00000036905","C1qb","complement component 1, q subcomponent, beta polypeptide [Source:MGI Symbol;Acc:MGI:88224]","Human Diseases;Human Diseases;Human Diseases;Organismal Systems;Human Diseases;Human Diseases","Immune disease;Infectious disease: bacterial;Infectious disease: parasitic;Immune system;Infectious disease: bacterial;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko05142//Chagas disease;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05020//Prion disease","K03987;K03987;K03987;K03987;K03987;K03987","-","GO:0005515//protein binding","GO:0006958//complement activation, classical pathway","--"
"ENSMUSG00000018446","C1qbp","complement component 1, q subcomponent binding protein [Source:MGI Symbol;Acc:MGI:1194505]","-","-","-","-","GO:0005759//mitochondrial matrix","-","-","--"
"ENSMUSG00000036896","C1qc","complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]","Human Diseases;Human Diseases;Human Diseases;Organismal Systems;Human Diseases;Human Diseases","Immune disease;Infectious disease: bacterial;Infectious disease: parasitic;Immune system;Infectious disease: bacterial;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko05142//Chagas disease;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05020//Prion disease","K03988;K03988;K03988;K03988;K03988;K03988","-","GO:0005515//protein binding","-","--"
